Date : 2026-06-15 13:52:14
Directory : /home/morit/Studium/Master/Forschungsprojekt/nextpnr
Total : 1369 files,  325095 codes, 67140 comments, 57768 blanks, all 450003 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| himbaechel/uarch/xilinx/examples (Files)                                                                                                               |          1 |         27 |          1 |          7 |         35 |
| himbaechel/uarch/xilinx/examples/arty-a35                                                                                                              |          3 |         54 |         10 |         17 |         81 |
| himbaechel/uarch/xilinx/gen                                                                                                                            |          5 |      1,173 |         54 |        104 |      1,331 |
| himbaechel/uarch/xilinx/meta                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| ice40                                                                                                                                                  |         58 |     16,275 |        966 |      2,387 |     19,628 |
| ice40 (Files)                                                                                                                                          |         27 |      9,109 |        739 |      1,486 |     11,334 |
| ice40/benchmark                                                                                                                                        |          6 |      3,686 |         44 |        440 |      4,170 |
| ice40/carry_tests                                                                                                                                      |          3 |         33 |          1 |         10 |         44 |
| ice40/examples                                                                                                                                         |          7 |         91 |          4 |         20 |        115 |
| ice40/examples/blinky                                                                                                                                  |          4 |         64 |          3 |         12 |         79 |
| ice40/examples/floorplan                                                                                                                               |          3 |         27 |          1 |          8 |         36 |
| ice40/pack_tests                                                                                                                                       |          4 |        111 |          1 |         32 |        144 |
| ice40/smoketest                                                                                                                                        |          4 |      2,776 |         45 |        330 |      3,151 |
| ice40/smoketest/attosoc                                                                                                                                |          4 |      2,776 |         45 |        330 |      3,151 |
| ice40/tests                                                                                                                                            |          7 |        469 |        132 |         69 |        670 |
| json                                                                                                                                                   |          3 |        222 |         37 |         33 |        292 |
| machxo2                                                                                                                                                |         38 |      7,230 |        678 |      1,025 |      8,933 |
| machxo2 (Files)                                                                                                                                        |         24 |      6,634 |        650 |        919 |      8,203 |
| machxo2/examples                                                                                                                                       |         14 |        596 |         28 |        106 |        730 |
| mistral                                                                                                                                                |         17 |      3,605 |        666 |        597 |      4,868 |
| nexus                                                                                                                                                  |         15 |      6,860 |        828 |        871 |      8,559 |
| python                                                                                                                                                 |         10 |        162 |         37 |         42 |        241 |
| rust                                                                                                                                                   |          5 |        961 |         55 |        189 |      1,205 |
| rust (Files)                                                                                                                                           |          3 |        229 |         35 |         52 |        316 |
| rust/example_printnets                                                                                                                                 |          1 |         26 |          0 |          2 |         28 |
| rust/example_printnets/src                                                                                                                             |          1 |         26 |          0 |          2 |         28 |
| rust/nextpnr                                                                                                                                           |          1 |        706 |         20 |        135 |        861 |
| rust/nextpnr/src                                                                                                                                       |          1 |        706 |         20 |        135 |        861 |
| tests                                                                                                                                                  |         61 |      8,881 |        304 |        613 |      9,798 |
| tests (Files)                                                                                                                                          |          1 |         12 |          0 |          4 |         16 |
| tests/ecp5                                                                                                                                             |          4 |         70 |          1 |         12 |         83 |
| tests/ecp5/regressions                                                                                                                                 |          4 |         70 |          1 |         12 |         83 |
| tests/ecp5/regressions/issue0191                                                                                                                       |          1 |          6 |          0 |          0 |          6 |
| tests/ecp5/regressions/issue0194                                                                                                                       |          2 |         37 |          0 |          6 |         43 |
| tests/ecp5/regressions/issue0235                                                                                                                       |          1 |         27 |          1 |          6 |         34 |
| tests/generic                                                                                                                                          |          6 |         31 |         20 |         14 |         65 |
| tests/generic (Files)                                                                                                                                  |          1 |          7 |         18 |          4 |         29 |
| tests/generic/flow                                                                                                                                     |          5 |         24 |          2 |         10 |         36 |
| tests/generic/flow (Files)                                                                                                                             |          1 |          1 |          1 |          1 |          3 |
| tests/generic/flow/bel-pin                                                                                                                             |          4 |         23 |          1 |          9 |         33 |
| tests/gui                                                                                                                                              |          2 |         83 |         29 |         17 |        129 |
| tests/ice40                                                                                                                                            |         48 |      8,685 |        254 |        566 |      9,505 |
| tests/ice40/regressions                                                                                                                                |         48 |      8,685 |        254 |        566 |      9,505 |
