"filename", "language", "C++", "CMake", "Markdown", "Python", "Verilog", "Tcl", "Rust", "Shell Script", "YAML", "Xilinx Design Constraints", "System Verilog", "Synopsys Design Constraints", "VHDL", "JSON", "XML", "Batch", "C", "Objective-C++", "Objective-C", "GLSL", "Properties", "reStructuredText", "PostCSS", "pip requirements", "Ini", "HTML", "SCSS", "comment", "blank", "total"
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/simple/main.cpp", "C++", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 33, 181
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/CMakeLists.txt", "CMake", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qt5compat.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtbuttonpropertybrowser.cpp", "C++", 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 74, 630
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtbuttonpropertybrowser.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 89
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qteditorfactory.cpp", "C++", 1792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 309, 2601
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qteditorfactory.h", "C++", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 37, 401
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtgroupboxpropertybrowser.cpp", "C++", 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 54, 537
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtgroupboxpropertybrowser.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 80
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtpropertybrowser.cpp", "C++", 783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1080, 201, 2064
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtpropertybrowser.h", "C++", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 48, 340
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/src/qtpropertybrowserutils.cpp", "C++", 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 51, 449
